"Value","Count","S_value"
1,29110,SOILA
2,19076,SOILB
3,1738,SOILC
4,3495,SOILD
5,6622,SOILE
6,28712,SOILF
7,2953,SOILG
8,6021,SOILH
9,13449,SOILI
10,4217,SOILJ
11,134,SOILK
12,5247,SOILL
13,743,SOILM
14,15557,SOILN
15,16419,SOILO
16,892,SOILP
17,860,SOILQ
18,2543,SOILR
19,1927,SOILS
20,420,SOILT
21,670,SOILU
22,5471,SOILV
23,3461,SOILW
24,5868,SOILX
25,1011,SOILY
26,1811,SOILZ
27,3911,SOIL 
