COOPID,WBANID,Prelim,year,month,day,Tmax,Tmin,Tobs,Tmean,Cdd,Hdd,Prcp,Snow,Snwd,meanTmean,meanTmax,meanTmin,highTmax,lowTmin,sumCdd,sumHdd,sumprcp,sumsnow
170100,99999, ,1982,11,15,45,24,39,35,0,30,0.90,0,0
170100,99999, ,1982,11,16,40,25,28,33,0,32,0.20,1.0,1
170100,99999, ,1982,11,17,48,27,44,38,0,27,0,0,0
170100,99999, ,1982,11,18,46,29,38,38,0,27,0,0,0
170100,99999, ,1982,11,19,50,38,50,44,0,21,0,0,0
170100,99999, ,1982,11,20,50,38,48,44,0,21,0,0,0
170100,99999, ,1982,11,21,53,40,49,47,0,18,0,0,0
170100,99999, ,1982,11,22,54,41,50,48,0,17,0.24,0,0
170100,99999, ,1982,11,23,54,49,50,52,0,13,0.05,0,0
170100,99999, ,1982,11,24,54,48,99999,51,0,14,0,0,0
170100,99999, ,1982,11,25,99999,18,22,99999,99999,99999,0,0,0
170100,99999, ,1982,11,26,50,22,35,36,0,29,0,0,0
170100,99999, ,1982,11,27,36,22,24,29,0,36,0,0,0
170100,99999, ,1982,11,28,32,8,20,20,0,45,0.69,0,0
170100,99999, ,1982,11,29,40,20,35,30,0,35,0,0,0
170100,99999, ,1982,11,30,43,32,36,38,0,27,0,0,0,42.6,50.5,34.7,67,8,0,633,5.07,1.0

170100,99999, ,1982,12,1,42,33,37,38,0,27,0,0,0
170100,99999, ,1982,12,2,48,37,39,43,0,22,0,0,0
170100,99999, ,1982,12,3,47,34,41,41,0,24,0,0,0
170100,99999, ,1982,12,4,55,40,42,48,0,17,0,0,0
170100,99999, ,1982,12,5,63,34,41,49,0,16,0.02,0,0
170100,99999, ,1982,12,6,57,38,57,48,0,17,0.05,0,0
170100,99999, ,1982,12,7,57,38,38,48,0,17,0,0,0
170100,99999, ,1982,12,8,56,23,25,40,0,25,0,0,0
170100,99999, ,1982,12,9,41,23,28,32,0,33,0.10,1.0,1
170100,99999, ,1982,12,10,29,-4,4,13,0,52,0.11,1.0,2
170100,99999, ,1982,12,11,31,4,26,18,0,47,0.42,2.5,5
